"id";"id_str";"followers_count";"created_at";"updated_at"
6613;"160537024";2230;"2021-07-08 17:21:50";"2021-07-08 17:21:50"
6625;"1086232379482689536";286;"2021-07-08 17:21:51";"2021-07-08 17:21:51"
6641;"176269387";105;"2021-07-08 17:21:52";"2021-07-08 17:21:52"
6646;"1909765362";165;"2021-07-08 17:21:53";"2021-07-08 17:21:53"
6654;"54627754";11118;"2021-07-08 17:21:54";"2021-07-08 17:21:54"
6708;"795228290";32;"2021-07-08 17:21:55";"2021-07-08 17:21:55"
6727;"1350454263386959872";18;"2021-07-08 17:21:56";"2021-07-08 17:21:56"
6743;"139194124";1297;"2021-07-08 17:21:57";"2021-07-08 17:21:57"
6748;"25577585";634350;"2021-07-08 17:21:58";"2021-07-08 17:21:58"
6757;"25577585";634350;"2021-07-08 17:21:59";"2021-07-08 17:21:59"
6764;"127285692";3556;"2021-07-08 17:22:00";"2021-07-08 17:22:00"
6769;"3294107902";2459;"2021-07-08 17:22:01";"2021-07-08 17:22:01"
6773;"1307554087";6804;"2021-07-08 17:22:02";"2021-07-08 17:22:02"
6812;"218355933";272;"2021-07-08 17:22:40";"2021-07-08 17:22:40"
6956;"163165805";1452;"2021-07-08 17:22:41";"2021-07-08 17:22:41"
6982;"1350454263386959872";18;"2021-07-08 17:22:43";"2021-07-08 17:22:43"
6987;"1177021738053525504";198;"2021-07-08 17:22:47";"2021-07-08 17:22:47"
7201;"1436541721";32132;"2021-07-08 17:23:40";"2021-07-08 17:23:40"
7278;"3084916883";6182;"2021-07-08 17:24:38";"2021-07-08 17:24:38"
7415;"2601784207";2672;"2021-07-08 17:24:39";"2021-07-08 17:24:39"
7459;"27166575";1369;"2021-07-08 17:25:39";"2021-07-08 17:25:39"
7472;"133284193";84;"2021-07-08 17:37:53";"2021-07-08 17:37:53"
7673;"794866608";3945;"2021-07-08 17:37:54";"2021-07-08 17:37:54"
7674;"342994346";256045;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7675;"133284193";84;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7676;"119373950";54;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7677;"64563165";3642734;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7678;"1335942718040793091";440;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7679;"1081389350137532416";63;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7680;"68712576";2143515;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7681;"1025103133981257728";48;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7682;"185344587";1852220;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7683;"25577585";634508;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7684;"128372940";6859928;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7685;"1084783141";6385;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7686;"1335942718040793091";440;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7687;"74849428";6245;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7688;"1093329310579154944";123;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7689;"2583179096";868;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7690;"25311569";2093;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7691;"63508635";19067;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7692;"116751115";2487;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7693;"3092387621";1417;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7694;"2317252641";1454;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7695;"429751053";3248;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7696;"1909765362";165;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7697;"48122425";24165;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7698;"3181396187";21106;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7699;"137548563";12875;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7700;"1576755078";3280;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7701;"948927124316008449";3389;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7702;"63508635";19067;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7703;"231407772";894;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7704;"40053694";1611829;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7705;"264391266";512;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7706;"25577585";634508;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7707;"795228290";32;"2021-07-08 20:40:42";"2021-07-08 20:40:42"
7708;"3084916883";6182;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7709;"1095138301844033537";475;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7710;"3294107902";2459;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7711;"1350454263386959872";18;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7712;"1095733666003800064";286;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7713;"292023005";570;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7714;"139194124";1297;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7715;"1325494376";5455;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7716;"57906445";20967;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7717;"98934540";570;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7718;"24761253";5266;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7719;"63508635";19067;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7720;"149115340";2016;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7721;"2583179096";868;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7722;"2793462577";1618;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7723;"167968053";45;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7724;"632737286";1042;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7725;"60053376";4365;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7726;"583377940";7983;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7727;"3254270357";2557;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7728;"2900528733";7830;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7729;"176269387";105;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7730;"1086232379482689536";286;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7731;"1113965533542719488";1471;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7732;"74849428";6245;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7733;"2583179096";868;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7734;"1025103133981257728";48;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7735;"48122425";24165;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7736;"2970617333";6185;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7737;"3181396187";21106;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7738;"218355933";272;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
